,iupac,smiles,expt,calc,xyz
121,caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,-17.621,"24

C          1.12758        0.04167       -0.01275
N          2.56971        0.01941       -0.01290
C          3.40188        1.10814       -0.01140
N          4.67293        0.74972       -0.01096
C          4.64507       -0.61394       -0.01205
C          3.36692       -1.09007       -0.01316
C          3.05131       -2.47570       -0.01319
O          1.89544       -2.89350       -0.01810
N          4.18365       -3.29128       -0.00688
C          5.51632       -2.84159       -0.01214
O          6.45276       -3.64681       -0.01588
N          5.72961       -1.46313       -0.01244
C          7.08848       -0.95472       -0.01194
C          4.00101       -4.72893        0.00334
H          0.77347        1.07589       -0.01199
H          0.77060       -0.46871        0.88565
H          0.77040       -0.46752       -0.91173
H          3.03379        2.12739       -0.01062
H          7.82139       -1.76767       -0.01220
H          7.25119       -0.35184        0.88604
H          7.25162       -0.35036       -0.90880
H          2.94818       -5.01882        0.00699
H          4.48767       -5.14167        0.89362
H          4.48638       -5.15565       -0.88089
"
122,N-methylmethanamine,CNC,-4.29,-2.991,"10

C          1.04524       -0.07440       -0.05157
N          2.50203       -0.08082       -0.03754
C          3.00191       -0.40105        1.29290
H          0.68930        0.16602       -1.05808
H          0.64175        0.67507        0.63716
H          0.64409       -1.05772        0.21422
H          2.84482        0.83875       -0.31300
H          2.67324       -1.39647        1.60848
H          2.67223        0.33610        2.03235
H          4.09619       -0.40272        1.28286
"
123,"1,1,2,3,3,3-hexafluoroprop-1-ene",C(=C(F)F)(C(F)(F)F)F,2.93,2.305,"9

C          0.90643        0.07560        0.01677
C          0.27467       -0.32144       -1.08864
F         -1.07205       -0.34266       -1.14772
F          0.98970       -0.70828       -2.16563
C          0.19825        0.51582        1.24240
F          0.52417       -0.25800        2.31033
F          0.52417        1.79230        1.57390
F         -1.15509        0.47988        1.14233
F          2.26242        0.07384        0.01187
"
124,4-chlorophenol,c1cc(ccc1O)Cl,-7.03,-5.373,"13

C         -0.77250        1.16970        0.02417
C          0.62039        1.24327       -0.01160
C          1.37415        0.07261       -0.02100
C          0.74599       -1.17468        0.02135
C         -0.64856       -1.24850       -0.01493
C         -1.39530       -0.07566       -0.02223
O         -2.75629       -0.09536       -0.08864
Cl         3.09008        0.15920       -0.11423
H         -1.36970        2.07453        0.06756
H          1.10683        2.21540       -0.03971
H          1.33667       -2.08429        0.06839
H         -1.12801       -2.22352       -0.03762
H         -3.04783       -1.00540       -0.26714
"
125,piperidine,C1CCNCC1,-5.11,-3.873,"17

C          0.72682        1.26839       -0.22547
C         -0.72375        1.23957        0.24492
C         -1.41680       -0.03497       -0.23230
N         -0.70783       -1.23025        0.22950
C          0.67928       -1.24567       -0.24036
C          1.44153       -0.00379        0.21960
H          1.23862        2.15185        0.17005
H          0.75445        1.33980       -1.32009
H         -1.25669        2.11931       -0.13178
H         -0.75463        1.28974        1.34116
H         -1.48583       -0.03953       -1.32709
H         -2.44139       -0.05640        0.15425
H         -1.18851       -2.06005       -0.11344
H          0.70275       -1.31886       -1.33453
H          1.17667       -2.13964        0.15140
H          2.45984       -0.01977       -0.18397
H          1.52917       -0.00904        1.31375
"
126,phenanthrene,c1ccc2c(c1)ccc3c2cccc3,-3.88,-5.264,"24

C          3.55178       -0.31105        0.00019
C          2.89248       -1.53015       -0.00047
C          1.49858       -1.56246       -0.00111
C          0.71663       -0.38267       -0.00092
C          1.41171        0.85374       -0.00020
C          2.81664        0.87271        0.00041
C          0.69704        2.05571        0.00022
C         -0.69602        2.05653        0.00009
C         -1.41133        0.85389       -0.00063
C         -0.71724       -0.38160       -0.00088
C         -1.50007       -1.56197       -0.00037
C         -2.89403       -1.52804        0.00169
C         -3.55232       -0.30883        0.00031
C         -2.81636        0.87484       -0.00097
H          4.63721       -0.28072        0.00058
H          3.45200       -2.46121       -0.00036
H          1.03210       -2.54302       -0.00164
H          3.35337        1.81910        0.00131
H          1.21946        3.01053        0.00072
H         -1.21793        3.01106        0.00099
H         -1.03440       -2.54241       -0.00126
H         -3.45432       -2.45887        0.00429
H         -4.63774       -0.27736        0.00023
H         -3.35221        1.82128       -0.00191
"
127,iodomethane,CI,-0.89,-0.641,"5

C          1.02550        0.09971        0.00628
I          3.13764        0.09971        0.00628
H          0.63176        0.87281       -0.66052
H          0.63175        0.29062        1.00920
H          0.63175       -0.86430       -0.32984
"
128,"3,5-dichloro-2,6-dimethoxyphenol",COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,-5.98,"21

C          0.98158       -0.14596       -0.01925
O          2.40018       -0.03419       -0.13497
C          2.94347        0.95699        0.65461
C          2.66223        2.31377        0.45784
C          3.25443        3.26627        1.27476
C          4.17942        2.87940        2.24322
C          4.55026        1.52608        2.42506
C          3.91464        0.56651        1.61328
O          4.13957       -0.78869        1.65106
O          5.49920        1.35826        3.39697
C          6.00954        0.08849        3.73826
Cl         4.86995        4.15457        3.19860
Cl         1.67997        2.91614       -0.82963
H          0.66691       -1.01804       -0.60033
H          0.45990        0.70711       -0.45338
H          0.66403       -0.28566        1.01918
H          3.01298        4.31751        1.13808
H          4.86834       -1.03817        2.21753
H          6.73140        0.20751        4.55192
H          6.55207       -0.34679        2.89346
H          5.21145       -0.56104        4.10934
"
129,"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,-0.78,1.024,"6

C          1.06378        0.02259       -0.07826
C          0.38393        1.16139       -0.18132
Cl        -1.32777        1.21546       -0.18622
Cl         2.77547       -0.03149       -0.07336
H          0.61325       -0.95743        0.01044
H          0.83445        2.14140       -0.27002
"
130,n-pentane,CCCCC,2.3,2.673,"17

C          1.05679        0.04849        0.06476
C          2.57691        0.03704        0.05588
C          3.11118       -1.09361       -0.82125
C          4.63841       -1.11473       -0.83763
C          5.15878       -2.24330       -1.71315
H          0.68607        0.86207        0.69591
H          0.66131       -0.89412        0.45617
H          0.66131        0.19330       -0.94556
H          2.94396       -0.08038        1.08190
H          2.94396        1.00167       -0.31290
H          2.73496       -0.97329       -1.84436
H          2.73496       -2.05470       -0.45039
H          5.02154       -1.24112        0.18142
H          5.02154       -0.15908       -1.21337
H          4.81461       -3.21458       -1.34398
H          6.25316       -2.24827       -1.71700
H          4.81462       -2.12716       -2.74571
"
131,butanenitrile,CCCC#N,-3.64,-2.287,"12

C          0.87804       -0.01054       -0.00054
C          2.39714        0.00974       -0.00002
C          2.92685        1.43869        0.03657
C          4.44685        1.43869        0.03657
N          5.70781        1.43869        0.03657
H          0.51171       -1.04165       -0.02694
H          0.48101        0.51504       -0.87458
H          0.48101        0.46962        0.89925
H          2.76846       -0.50636       -0.89378
H          2.76846       -0.55142        0.86615
H          2.57465        1.95662        0.93573
H          2.57465        2.00196       -0.83491
"
132,"2-bromo-1,1,1,2-tetrafluoro-ethane",[C@@H](C(F)(F)F)(F)Br,0.5,0.234,"8

C          0.96363        0.07582       -0.02954
H          0.70492        1.06296       -0.41880
C          0.44938       -0.09408        1.39128
F         -0.85707        0.26534        1.47184
F          0.54797       -1.36447        1.83117
F          1.11750        0.69579        2.26979
F          0.41598       -0.85237       -0.86222
Br         2.90667       -0.04797       -0.11982
"
133,2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.04,-5.495,"22

C          1.04852       -0.03701        0.07542
C          2.57925       -0.11155        0.04500
C          2.95592       -1.35023       -0.78199
C          3.17694        1.20829       -0.50223
C          4.68679        1.28779       -0.46610
C          5.35398        2.50726       -0.52433
N          6.69978        2.60040       -0.68979
C          7.36427        1.42784       -0.76545
C          6.72609        0.21294       -0.63229
N          5.39003        0.13604       -0.49295
H          0.63329       -0.95413        0.50935
H          0.63992        0.06498       -0.93652
H          0.69524        0.80649        0.67503
H          2.93526       -0.24933        1.07418
H          2.63487       -1.23823       -1.82223
H          2.48953       -2.24678       -0.36326
H          4.02332       -1.56714       -0.79139
H          2.77079        2.04694        0.07988
H          2.84786        1.35856       -1.53945
H          4.82995        3.45043       -0.44380
H          8.43152        1.47934       -0.93800
H          7.25359       -0.73015       -0.64152
"
134,[(2S)-butan-2-yl] nitrate,CC[C@H](C)O[N+](=O)[O-],-1.82,-1.864,"17

C          3.26174        0.65068       -1.77702
C          2.60086        1.82816       -1.05788
C          3.00955        1.57518        0.40386
H          2.69799        0.53348        0.56600
C          2.31247        2.26757        1.54129
O          4.42770        1.53832        0.61568
N          5.14545        2.69379        0.22557
O          4.50114        3.73764        0.06150
O          6.34659        2.49181        0.12080
H          3.20991        0.66940       -2.86179
H          2.79291       -0.27206       -1.41318
H          4.32111        0.58989       -1.50294
H          1.51141        1.81033       -1.20127
H          2.94249        2.78764       -1.46567
H          2.62570        1.74471        2.45534
H          1.22736        2.18259        1.45325
H          2.61256        3.30818        1.64731
"
135,"1,4-dichloro-2-phenyl-benzene",c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-1.903,"22

C         -1.47669       -0.03000       -0.01941
C         -0.82205        1.19291        0.02723
C          0.58081        1.24006       -0.01331
C          1.38473        0.07964        0.00545
C          0.66239       -1.11968        0.13967
C         -0.73098       -1.18762        0.03561
C          2.88748        0.12729       -0.17234
C          3.53586        1.39335       -0.24030
C          4.88118        1.53577       -0.60701
C          5.67979        0.42501       -0.78859
C          5.12361       -0.83173       -0.61697
C          3.74545       -0.98880       -0.38349
Cl         3.27793       -2.65597       -0.51015
Cl         5.53897        3.10313       -0.87880
H         -2.55950       -0.07875       -0.07519
H         -1.39521        2.11318        0.06874
H          1.00719        2.23794       -0.07613
H          1.14032       -2.06514        0.33005
H         -1.21178       -2.16372        0.01022
H          2.99942        2.31652       -0.04549
H          6.72178        0.51724       -1.07776
H          5.75811       -1.70937       -0.71762
"
136,"1,2,3,4-tetrachloro-5-phenyl-benzene",c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,-1.31,"22

C         -1.49211       -0.02668       -0.02903
C         -0.82269        1.18692        0.01860
C          0.58214        1.22024       -0.03039
C          1.37873        0.05183       -0.03082
C          0.63726       -1.13391        0.11233
C         -0.75720       -1.18986        0.01999
C          2.89221        0.08461       -0.18844
C          3.53748        1.34843       -0.26052
C          4.92121        1.50637       -0.43549
C          5.75076        0.39510       -0.53052
C          5.17642       -0.87891       -0.47480
C          3.76792       -1.03959       -0.33326
Cl         3.21051       -2.69346       -0.42965
Cl         6.22200       -2.28136       -0.58849
Cl         7.46455        0.59506       -0.73015
Cl         5.52695        3.12685       -0.52961
H         -2.57563       -0.06645       -0.07229
H         -1.38745        2.11240        0.07507
H          1.00945        2.21866       -0.06803
H          1.09056       -2.08681        0.31994
H         -1.24550       -2.16238        0.00742
H          2.97058        2.27376       -0.19854
"
137,"2,3-dimethylpentane",CC[C@@H](C)C(C)C,2.52,2.625,"23

C          1.02220       -0.04815        0.02489
C          2.54386        0.02335        0.02764
C          3.10485        1.37986       -0.46308
H          2.72797        1.55565       -1.47826
C          2.58985        2.51919        0.43320
C          4.66477        1.37098       -0.51847
C          5.21484        0.25975       -1.42386
C          5.23062        2.70867       -1.01713
H          0.69325       -1.04718        0.32768
H          0.62827        0.15239       -0.97571
H          0.57692        0.66285        0.72568
H          2.89324       -0.78654       -0.62159
H          2.91696       -0.19247        1.03509
H          1.49736        2.56510        0.44230
H          2.91651        3.49984        0.07768
H          2.93582        2.39270        1.46385
H          5.04945        1.19944        0.49436
H          4.83954        0.36334       -2.44695
H          4.95070       -0.73645       -1.05891
H          6.30952        0.29595       -1.45971
H          4.85411        2.94520       -2.01757
H          6.32450        2.67521       -1.06463
H          4.97568        3.53611       -0.34947
"
138,4-methylpentan-2-ol,C[C@H](CC(C)C)O,-3.73,-2.907,"21

C          3.12248       -0.60309       -1.27952
C          2.64281       -0.02280        0.04365
H          1.55318       -0.10513        0.10486
C          3.09318        1.43164        0.23824
C          2.57760        2.39283       -0.84795
C          1.04931        2.41526       -0.89782
C          3.11904        3.80303       -0.62412
O          3.17271       -0.81969        1.10215
H          4.21663       -0.59536       -1.33175
H          2.72879       -0.05077       -2.13735
H          2.80256       -1.64433       -1.38215
H          4.19114        1.46251        0.27225
H          2.76913        1.77798        1.22924
H          2.95141        2.06768       -1.82526
H          0.63093        2.74444        0.05914
H          0.63774        1.42701       -1.12439
H          0.69501        3.09215       -1.68081
H          2.78053        4.21438        0.33177
H          2.78175        4.47180       -1.42346
H          4.21416        3.80369       -0.63104
H          2.78841       -0.49200        1.92968
"
139,tetrahydropyran,C1CCOCC1,-3.12,-1.809,"16

C          0.72920        1.27254       -0.22431
C         -0.72259        1.23444        0.23984
C         -1.38776       -0.05094       -0.23523
O         -0.67178       -1.19338        0.23649
C          0.67280       -1.22858       -0.24447
C          1.44693        0.00092        0.21516
H          1.23602        2.15590        0.17858
H          0.76045        1.35012       -1.31797
H         -1.26696        2.10903       -0.13079
H         -0.74233        1.26830        1.33609
H         -1.44945       -0.08510       -1.32903
H         -2.40841       -0.11069        0.15653
H          0.66623       -1.30778       -1.33755
H          1.14423       -2.13468        0.15021
H          2.46787       -0.01881       -0.17997
H          1.51319       -0.00335        1.31000
"
140,cyclopropane,C1CC1,0.75,2.485,"9

C         -0.02818        0.86312        0.05500
C         -0.73731       -0.45566       -0.07007
C          0.76445       -0.40724       -0.07008
H         -0.04416        1.35815        1.01926
H         -0.04993        1.53685       -0.79335
H         -1.23330       -0.68417       -1.00635
H         -1.23938       -0.84456        0.80800
H          1.27410       -0.60334       -1.00637
H          1.29052       -0.76301        0.80798
"
141,"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,-0.822,"22

C         -0.67983        1.12281        0.00152
C          0.73818        1.13227       -0.00021
C          1.29505       -0.15367       -0.00607
C          0.55913       -1.34918       -0.00157
C         -0.82730       -1.31971        0.00112
C         -1.44420       -0.07035        0.00013
Cl        -3.16987        0.09307       -0.00377
Cl        -1.73834       -2.79017        0.00407
Cl         1.47575       -2.81928        0.00070
C          1.56791        2.41750        0.00419
C          0.88561        3.66238       -0.00288
C          1.53453        4.90964        0.00284
C          2.92314        4.98634        0.01719
C          3.65769        3.79848        0.02389
C          3.00082        2.53155        0.01718
Cl         4.08750        1.16474        0.02806
Cl         5.40962        3.89317        0.04166
Cl         3.71879        6.53007        0.02728
Cl         0.53245        6.32240       -0.00915
H         -1.25815        2.04290        0.00380
H          2.35683       -0.32040       -0.01618
H         -0.20124        3.71055       -0.01324
"
142,"1,1-dichloroethylene",C=C(Cl)Cl,0.25,1.108,"6

C          1.09205       -0.07525        0.02541
C          2.42736       -0.07525        0.02541
Cl         3.30872        0.25453       -1.41768
Cl         3.30872       -0.40502        1.46849
H          0.52847        0.13119       -0.87793
H          0.52847       -0.28168        0.92874
"
143,2-methylpropan-1-ol,CC(C)CO,-4.5,-3.13,"15

C          0.91559       -0.06704       -0.00601
C          2.44261       -0.04450       -0.02610
C          2.95558       -0.24692       -1.45276
C          2.96167        1.26896        0.56733
O          4.38317        1.29026        0.59494
H          0.53390       -1.01394       -0.40217
H          0.50102        0.74477       -0.61369
H          0.53636        0.04676        1.01488
H          2.81695       -0.87810        0.58196
H          2.61733        0.56110       -2.11031
H          2.59224       -1.19404       -1.86531
H          4.04968       -0.27157       -1.48106
H          2.60112        1.40527        1.59240
H          2.62393        2.12580       -0.02476
H          4.67887        0.51962        1.10726
"
144,propyl propanoate,CCCOC(=O)CC,-2.44,-2.453,"20

C          1.07157       -0.04481        0.08186
C          2.59464       -0.03736        0.10180
C          3.13610        0.46237        1.43973
O          4.57740        0.45898        1.43065
C          5.12329        0.89757        2.60485
O          4.46765        1.26018        3.57567
C          6.63787        0.88057        2.55936
C          7.21936        1.37399        3.88037
H          0.70015       -0.40523       -0.88307
H          0.67046        0.96151        0.24210
H          0.67046       -0.69967        0.86258
H          2.97050        0.59482       -0.71099
H          2.97050       -1.04759       -0.09753
H          2.77826       -0.19205        2.24396
H          2.77826        1.48378        1.61801
H          6.98503        1.53047        1.74921
H          6.98503       -0.14130        2.37364
H          6.88924        2.39697        4.09323
H          8.31346        1.36710        3.86190
H          6.88924        0.74105        4.71174
"
145,hexachloroethane,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,0.885,"8

C          0.93082       -0.01041       -0.05098
C          0.40916       -1.43949       -0.41805
Cl         0.97012       -2.70132        0.75776
Cl        -1.40224       -1.52751       -0.44067
Cl         0.97012       -1.97847       -2.05642
Cl         0.36987        0.52857        1.58739
Cl         0.36987        1.25143       -1.22678
Cl         2.74222        0.07761       -0.02836
"
146,methylsulfanylbenzene,CSc1ccccc1,-2.73,-1.325,"16

C          1.17191        0.06432       -0.06577
S          2.98938       -0.02016       -0.02117
C          3.40490        1.61975       -0.59021
C          3.03407        2.75528        0.13931
C          3.28122        4.03153       -0.37412
C          3.97247        4.18300       -1.57207
C          4.44459        3.05695       -2.24742
C          4.13835        1.77970       -1.76833
H          0.76624       -0.89912        0.25843
H          0.81245        0.25994       -1.08054
H          0.79092        0.83568        0.60912
H          2.55688        2.65597        1.10898
H          2.93563        4.90943        0.16822
H          4.15701        5.17558       -1.97593
H          5.04179        3.17376       -3.14653
H          4.47775        0.91073       -2.32946
"
147,2-ethylphenol,CCc1ccccc1O,-5.66,-4.768,"19

C          1.04710        0.09113       -0.05942
C          2.57344        0.05950       -0.08612
C          3.03539       -0.86326       -1.18762
C          3.40659       -0.33301       -2.43220
C          3.56092       -1.17882       -3.53274
C          3.42431       -2.55539       -3.38095
C          3.16951       -3.10239       -2.12194
C          2.95379       -2.24961       -1.04048
O          2.61006       -2.76086        0.18108
H          0.68595        0.75161        0.73291
H          0.62650       -0.90566        0.11692
H          0.64497        0.44721       -1.01514
H          2.96686       -0.27445        0.88073
H          2.95941        1.07296       -0.24551
H          3.52968        0.73811       -2.56080
H          3.76331       -0.75452       -4.51368
H          3.51223       -3.20807       -4.24645
H          3.11344       -4.17772       -2.00941
H          2.46686       -3.71460        0.09408
"
148,2-chloro-2-methyl-propane,CC(C)(C)Cl,1.09,0.826,"14

C          1.03924       -0.01867       -0.07775
C          2.56869        0.00229       -0.09031
C          3.09002       -0.04209       -1.52769
C          3.09002        1.24873        0.62693
Cl         3.16776       -1.45126        0.78050
H          0.63208        0.85406       -0.60060
H          0.64660       -0.00337        0.94545
H          0.64660       -0.91364       -0.57395
H          2.74616        0.82991       -2.09528
H          2.73951       -0.93755       -2.05367
H          4.18570       -0.04381       -1.55674
H          2.74616        2.16057        0.12583
H          4.18570        1.27353        0.64214
H          2.73951        1.29005        1.66461
"
149,isoprene,CC(=C)C=C,0.68,1.824,"13

C          0.99473        0.03741        0.11166
C          2.50107       -0.00771        0.05566
C          3.11143       -0.75919       -0.87715
C          3.22568        0.78552        1.04029
C          4.56220        0.87071        1.14604
H          0.54623       -0.59071       -0.66802
H          0.62355        1.05604       -0.04352
H          0.62355       -0.33103        1.07391
H          2.54361       -1.33834       -1.59605
H          4.18867       -0.82796       -0.96252
H          2.62426        1.35563        1.74796
H          5.23515        0.33800        0.48478
H          5.03040        1.48401        1.90732
"
150,1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68,-0.456,"24

C          0.95085        0.03424       -0.05731
C          2.44697        0.05884       -0.07316
C          3.15124        1.26682       -0.09706
C          4.53469        1.26575       -0.29214
C          5.25180        0.06459       -0.37123
C          4.54122       -1.13747       -0.22073
C          3.15214       -1.13967       -0.11802
C          6.74330        0.08672       -0.67681
C          7.51767        0.91751        0.34981
C          7.36911       -1.31034       -0.77437
H          0.53432        1.04352        0.00178
H          0.58877       -0.54218        0.79861
H          0.58691       -0.42588       -0.98291
H          2.62927        2.21287        0.00327
H          5.04164        2.22355       -0.39953
H          5.04192       -2.09875       -0.20986
H          2.62903       -2.09401       -0.09382
H          6.85999        0.55906       -1.66303
H          7.39476        0.50738        1.35776
H          7.17960        1.95878        0.37071
H          8.58641        0.93136        0.11124
H          7.28658       -1.84342        0.18037
H          8.42909       -1.25781       -1.03714
H          6.87093       -1.91105       -1.54497
"
151,1-methylimidazole,Cn1ccnc1,-8.41,-6.282,"12

C          1.06783        0.09311        0.00425
N          2.50768        0.10828        0.00492
C          3.31240        1.21072        0.00691
C          4.59422        0.71076        0.01563
N          4.58209       -0.66047        0.01471
C          3.31115       -0.99496        0.00655
H          0.69086        1.11898        0.00457
H          0.72641       -0.42810        0.90227
H          0.72664       -0.42809       -0.89375
H          2.93021        2.22155        0.00353
H          5.52401        1.26458        0.02213
H          2.92642       -2.00648        0.00227
"
152,ethylene glycol,C(CO)O,-9.3,-7.266,"10

C          1.05485        0.02406       -0.08913
C          0.52048       -0.73414       -1.30017
O         -0.90019       -0.74493       -1.31719
O          2.47552        0.03466       -0.07199
H          0.69258       -0.42622        0.84134
H          0.69757        1.05887       -0.10143
H          0.88276       -1.76783       -1.30157
H          0.87776       -0.27104       -2.22566
H         -1.20694       -1.17550       -0.50150
H          2.78227       -0.88718       -0.04098
"
153,"1,2-dichlorobenzene",c1ccc(c(c1)Cl)Cl,-1.36,-0.553,"12

C         -0.61250       -1.23046        0.00030
C         -1.37229       -0.06493       -0.00181
C         -0.74183        1.18172        0.01909
C          0.65506        1.26033       -0.02568
C          1.41815        0.08962       -0.02596
C          0.78253       -1.15666        0.02145
Cl         3.14407        0.10553       -0.11426
Cl         1.36660        2.83317       -0.10768
H         -1.10285       -2.20215       -0.01851
H         -2.45918       -0.12154       -0.02301
H         -1.34247        2.08561        0.05501
H          1.36719       -2.07087        0.05949
"
154,6-chlorouracil,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,-15.128,"12

C         -0.73191        1.21098        0.00018
C          0.74012        1.20890        0.00073
O          1.36865        2.26094        0.00385
N          1.34398       -0.01676       -0.00256
H          2.35227       -0.03957       -0.00250
C          0.69146       -1.21801        0.00014
O          1.28890       -2.28797        0.00287
N         -0.67164       -1.14499       -0.00014
H         -1.18266       -2.01871        0.00090
C         -1.34874        0.03197       -0.00122
Cl        -3.04812       -0.13786       -0.00475
H         -1.24069        2.16417        0.00043
"
155,propyl formate,CCCOC=O,-2.48,-3.699,"14

C          0.96239        0.08408       -0.02134
C          2.48015        0.06822       -0.04997
C          3.01520       -0.62459       -1.30053
O          4.44879       -0.59274       -1.24304
C          5.11320       -1.16285       -2.27212
O          6.33289       -1.20600       -2.35002
H          0.60036        0.58474        0.88237
H          0.56185       -0.93450       -0.02868
H          0.56185        0.61804       -0.88878
H          2.86391       -0.43609        0.84545
H          2.86391        1.09480       -0.00266
H          2.67149       -0.09990       -2.19957
H          2.67149       -1.66504       -1.33248
H          4.44772       -1.58746       -3.03858
"
156,2-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,-4.054,"22

C          3.56364        0.73400        0.00070
C          3.58216       -0.66252        0.00026
C          2.38141       -1.38468       -0.00136
C          1.16038       -0.70750       -0.00107
C          1.15248        0.68744       -0.00031
C          2.34574        1.40837        0.00015
O         -0.00586        1.41594       -0.00003
C         -1.16400        0.68720       -0.00009
C         -2.35587        1.40987        0.00018
C         -3.57397        0.73519        0.00011
C         -3.58686       -0.66111       -0.00001
C         -2.39251       -1.38930       -0.00024
C         -1.17276       -0.70891       -0.00047
O         -0.00568       -1.44112       -0.00128
Cl        -5.10009       -1.48299        0.00002
H          4.49412        1.29646        0.00138
H          4.53616       -1.18479        0.00117
H          2.41011       -2.47125       -0.00279
H          2.32087        2.49482        0.00024
H         -2.33013        2.49641        0.00035
H         -4.50203        1.30087        0.00015
H         -2.41613       -2.47550       -0.00030
"
157,hexanoic acid,CCCCCC(=O)O,-6.21,-7.878,"20

C          0.91731       -0.06966        0.03705
C          2.43529       -0.05675        0.02466
C          2.95974        0.97904       -0.96967
C          4.48339        0.99267       -0.98276
C          5.05085        2.01847       -1.96749
C          6.56311        1.98250       -1.93296
O          7.22386        1.23938       -1.21959
O          7.15122        2.85956       -2.77491
H          0.54702       -0.81215        0.74982
H          0.52427       -0.31880       -0.95370
H          0.52427        0.91009        0.32644
H          2.80556       -1.05429       -0.24080
H          2.80556        0.16776        1.03220
H          2.58304        1.97245       -0.69864
H          2.58303        0.74879       -1.97332
H          4.85335       -0.00756       -1.24248
H          4.85335        1.21133        0.02724
H          4.70915        3.02313       -1.69447
H          4.70915        1.78669       -2.98246
H          6.54198        3.40827       -3.30166
"
158,diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,-8.683,"26

C          1.00806        0.04503       -0.05630
C          2.53009        0.05951       -0.03920
O          3.01955        0.93744        0.99731
C          4.38510        1.00449        1.07647
O          5.14819        0.38433        0.34429
C          4.84279        1.93990        2.18085
C          6.38026        2.01560        2.27022
C          6.83794        2.95100        3.37460
O          6.07486        3.57116        4.10677
O          8.20350        3.01805        3.45375
C          8.69295        3.89598        4.49027
C         10.21499        3.91046        4.50736
H          0.63405       -0.62110       -0.84276
H          0.60702        1.04736       -0.23657
H          0.60702       -0.29771        0.90271
H          2.89219        0.40552       -1.01433
H          2.89219       -0.95926        0.14164
H          4.43738        1.58163        3.13429
H          4.43738        2.93929        1.98435
H          6.78567        2.37386        1.31678
H          6.78567        1.01620        2.46671
H          8.33086        3.54997        5.46540
H          8.33086        4.91475        4.30943
H         10.61603        2.90813        4.68763
H         10.58900        4.57659        5.29382
H         10.61603        4.25320        3.54836
"
159,"2,4-dimethylpyridine",Cc1ccnc(c1)C,-4.86,-3.282,"17

C          1.03869       -0.10853        0.01116
C          2.53679       -0.11900       -0.01272
C          3.26803        1.06343       -0.06819
C          4.64981        0.98494       -0.13955
N          5.33229       -0.17879       -0.23074
C          4.61151       -1.32104       -0.19606
C          3.22832       -1.33417       -0.02407
C          5.33992       -2.61068       -0.43502
H          0.64590        0.91137       -0.05750
H          0.66452       -0.55938        0.93449
H          0.65120       -0.66792       -0.84741
H          2.78090        2.03353       -0.06162
H          5.26062        1.88131       -0.13885
H          2.69669       -2.27556        0.05481
H          6.39554       -2.42834       -0.66070
H          4.90173       -3.12512       -1.29780
H          5.27443       -3.26137        0.44070
"
160,cyclohexene,C1CCC=CC1,0.14,1.175,"16

C          0.38820        1.44309        0.03995
C          1.45543        0.35513       -0.03253
C          1.01541       -1.10651       -0.01862
C         -0.44884       -1.37528        0.01049
C         -1.38322       -0.41981        0.00699
C         -1.08063        1.03657       -0.03354
H          0.58333        2.16640       -0.76344
H          0.54209        2.01323        0.96565
H          2.15844        0.51267        0.79721
H          2.05801        0.52356       -0.93476
H          1.47262       -1.60288        0.84606
H          1.43146       -1.59869       -0.90633
H         -0.75652       -2.41828        0.02286
H         -2.43369       -0.70094        0.01812
H         -1.61332        1.52128        0.79406
H         -1.51310        1.44352       -0.95533
"
161,"1,4-dimethylpiperazine",CN1CCN(CC1)C,-7.58,-7.874,"22

C          0.97205        0.08029        0.02748
N          2.43320        0.05947       -0.05307
C          2.91148       -1.29022       -0.42853
C          2.61046       -1.67801       -1.89718
N          3.11084       -0.70153       -2.88933
C          2.63027        0.64975       -2.52116
C          2.91354        1.04365       -1.04900
C          4.57346       -0.73107       -2.94563
H          0.62074       -0.64377        0.76920
H          0.47896       -0.15172       -0.92269
H          0.62322        1.06660        0.35023
H          2.48698       -2.04301        0.24827
H          3.99321       -1.33429       -0.25485
H          1.52761       -1.78421       -2.03147
H          3.01987       -2.67481       -2.11007
H          1.54994        0.69240       -2.70455
H          3.06177        1.40010       -3.19647
H          2.48113        2.03184       -0.84068
H          3.99318        1.17460       -0.91124
H          4.92450       -1.73479       -3.20780
H          5.05409       -0.45007       -2.00224
H          4.93882       -0.04925       -3.71932
"
